id	name	semanticStatus	description	sourceKind	relativePath	technicalClass	tags	seconds	frames	pathMeters	netMeters	turnDegrees	avgSpeedMPS	likelyLoop	poseErrorDegrees	bones	meshes	retargetCandidate	confirmedMatches	sha256
00041fd3325430d72c5a947e1171de3b		unclassified	Humanoid motion-only; turn-in-place; 2.167 с при 30 fps; путь 0.275 м; смещение 0.011 м; поворот 178.9°; одноразовый/нециклический.	hash-archive	HashArchive/00041fd3325430d72c5a947e1171de3b.fbx	turn-in-place	humanoid,motion-only,turn-in-place,one-shot,has-root-motion,medium	2.166667	66	0.274883	0.010639	178.887	0.126869	False	24.1724	67	0	True		5b5c0156877d3b84ba7a9b7d50fdb02a5bda5a4c8fc504339db26484b0f47f4f
00263ce7085eecf97ac97cd06d48c998		unclassified	Humanoid motion-only; complex-in-place; 5.267 с при 30 fps; путь 0.727 м; смещение 0.000 м; поворот 0.0°; похож на цикл.	hash-archive	HashArchive/00263ce7085eecf97ac97cd06d48c998.fbx	complex-in-place	humanoid,motion-only,complex-in-place,likely-loop,has-root-motion,long	5.266667	159	0.72699	0.0	0.0	0.138036	True	0.1068	67	0	True		05e314d3d3aa0f1d2afcefc77aec2d85b0a7d1851ae17fb73807bd5500e7c1a6
0047fc953feac685a03497e88c79c5b0		unclassified	Humanoid motion-only; locomotion-turning; 4.133 с при 30 fps; путь 2.072 м; смещение 1.727 м; поворот -35.0°; одноразовый/нециклический.	hash-archive	HashArchive/0047fc953feac685a03497e88c79c5b0.fbx	locomotion-turning	humanoid,motion-only,locomotion-turning,one-shot,has-root-motion,medium	4.133333	125	2.071783	1.727036	-35.0465	0.501238	False	43.6539	67	0	True		9f7218a8eb7bb116d1ff82c7015fd6c5bf5df3806d505c2009ffa42a97cdd554
0048ddbd78fdaf0a54201fa072c11ba1		unclassified	Humanoid motion-only; locomotion-turning; 16.367 с при 30 fps; путь 1.275 м; смещение 0.775 м; поворот -48.5°; одноразовый/нециклический.	hash-archive	HashArchive/0048ddbd78fdaf0a54201fa072c11ba1.fbx	locomotion-turning	humanoid,motion-only,locomotion-turning,one-shot,has-root-motion,long	16.366667	492	1.275118	0.774694	-48.4856	0.077909	False	24.335	67	0	True		001637d42192c3fff58816acc7d4650adc60c813e82b344a6ae728ecf7bb89a6
0062b3586221049498c037f20f24278e		unclassified	Humanoid motion-only; locomotion-turning; 6.000 с при 30 fps; путь 1.925 м; смещение 1.030 м; поворот -91.5°; одноразовый/нециклический.	hash-archive	HashArchive/0062b3586221049498c037f20f24278e.fbx	locomotion-turning	humanoid,motion-only,locomotion-turning,one-shot,has-root-motion,long	6.0	181	1.924629	1.029989	-91.5069	0.320771	False	32.642	67	0	True		5be03f86dd91ad84ba177908c12b93ff56fc039904dc76b39cdcd950d6317fd7
006bf01be8dd4c47e2b52ffc884ce89f		unclassified	Humanoid motion-only; complex-in-place; 10.867 с при 30 fps; путь 2.080 м; смещение 0.000 м; поворот -0.0°; похож на цикл.	hash-archive	HashArchive/006bf01be8dd4c47e2b52ffc884ce89f.fbx	complex-in-place	humanoid,motion-only,complex-in-place,likely-loop,has-root-motion,long	10.866667	327	2.079796	0.0	-0.0003	0.191392	True	0.1916	67	0	True		fb50ecf946518c5e37e5dc84a949371d59c4fc47eb04d23b91aa78c296875e4e
006c9a5e149c549f1c1bdae7d2fcaf3f		unclassified	Humanoid motion-only; locomotion-straight; 6.533 с при 30 fps; путь 5.973 м; смещение 5.640 м; поворот -22.3°; одноразовый/нециклический.	hash-archive	HashArchive/006c9a5e149c549f1c1bdae7d2fcaf3f.fbx	locomotion-straight	humanoid,motion-only,locomotion-straight,one-shot,has-root-motion,long	6.533333	197	5.972599	5.640458	-22.2978	0.914173	False	29.029	67	0	True		07655a85a3b652b6bedd6ef845704f8c3a64c30ae6f411aa0f1c3f572ea07228
007461825ff5e6b6bd7860345aa449d2		unclassified	Humanoid motion-only; complex-in-place; 5.900 с при 30 fps; путь 0.408 м; смещение 0.000 м; поворот 0.3°; похож на цикл.	hash-archive	HashArchive/007461825ff5e6b6bd7860345aa449d2.fbx	complex-in-place	humanoid,motion-only,complex-in-place,likely-loop,has-root-motion,long	5.9	178	0.407514	0.000168	0.3051	0.06907	True	0.3133	67	0	True		535ff6653eda87bd8cdfc030e71916155ab9a26c5310a8c5e891f24f1afbf5cc
00782dd8c092ef3a92a3b434d5e8ce42		unclassified	Humanoid motion-only; turn-in-place; 3.667 с при 30 fps; путь 0.073 м; смещение 0.014 м; поворот 78.8°; одноразовый/нециклический.	hash-archive	HashArchive/00782dd8c092ef3a92a3b434d5e8ce42.fbx	turn-in-place	humanoid,motion-only,turn-in-place,one-shot,near-in-place,medium	3.666667	111	0.072764	0.014392	78.8468	0.019845	False	18.9259	67	0	True		033f949bf7838cc82c92438473a858ff609ff4dc5c15c506d93f92faa3ce8584
00954fe50745902f381ae452b7ddb5c5		unclassified	Humanoid motion-only; complex-in-place; 5.900 с при 30 fps; путь 0.667 м; смещение 0.000 м; поворот 0.0°; похож на цикл.	hash-archive	HashArchive/00954fe50745902f381ae452b7ddb5c5.fbx	complex-in-place	humanoid,motion-only,complex-in-place,likely-loop,has-root-motion,long	5.9	178	0.666538	0.0	0.0001	0.112973	True	0.1067	67	0	True		8e51153f25303f64410450c86694afe025d91d65553c13f9da344f68bd927d93
