relativePath	status	family	grade	bones	mapped	actions	skeleton
Anims_Only_FBX_V1/FBX/01_01.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/01_02.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/01_03.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/01_04.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/01_05.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/01_06.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/01_07.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/01_08.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/01_09.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/01_10.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/01_11.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/01_12.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/01_13.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/01_14.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/02_01.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/02_02.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/02_03.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/02_04.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/02_05.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/02_06.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/02_07.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/02_08.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/02_09.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/02_10.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/03_01.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/03_02.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/03_03.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/03_04.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/05_01.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/05_02.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/05_03.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/05_04.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/05_05.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/05_06.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/05_07.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/05_08.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/05_09.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/05_10.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/05_11.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/05_12.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/05_13.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/05_14.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/05_15.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/05_16.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/05_17.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/05_18.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/05_19.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/05_20.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/06_01.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/06_02.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/06_03.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/06_04.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/06_05.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/06_06.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/06_07.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/06_08.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/06_09.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/06_10.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/06_11.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/06_12.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/06_13.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/06_14.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/06_15.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/07_01.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/07_02.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/07_03.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/07_04.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/07_05.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/07_06.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/07_07.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
Anims_Only_FBX_V1/FBX/07_08.fbx	ok	cmu	B-retarget	43	19	1	b7c0a8f92ee0fe7f
