file	bytes	skin	frames	seconds30	match	candidateCount	candidateUUIDs	descriptions	sha256	duplicateOf
180 Turn W_ Briefcase (1).fbx	444736	without-skin	69.0	2.3	ambiguous-name	2	c9c9f110-b96c-11e4-a802-0aaa78deedf9 | c9c9ee12-b96c-11e4-a802-0aaa78deedf9	Female 180 Turn With Briefcase | Male 180 Turn With Briefcase	88495c23861c5e9c317a57af27566fbad9bb0a75093994202d526654ae789545	
180 Turn W_ Briefcase.fbx	444736	without-skin	69.0	2.3	ambiguous-name	2	c9c9f110-b96c-11e4-a802-0aaa78deedf9 | c9c9ee12-b96c-11e4-a802-0aaa78deedf9	Female 180 Turn With Briefcase | Male 180 Turn With Briefcase	080740f74cb0199bb85b9128889bbae7c1e8050eef720ac341dadcfc5690b787	
Agreeing.fbx	55041296	with-skin	142.0	4.7333	ambiguous-name	2	c9c91ec4-b96c-11e4-a802-0aaa78deedf9 | c9c91ad5-b96c-11e4-a802-0aaa78deedf9	Agreeing Yes | Step Back Cautiously Agreeing	7f86b3183d37873a5a6032efcb30f9e7154d20a35e8c4a168fcb9984be2b296f	
Backwards Rifle Walk.fbx	54713072	with-skin	39.0	1.3	unique-name	1	c9cd4c9d-b96c-11e4-a802-0aaa78deedf9	Walking Backwards With Rifle Down	69503adcc5ee9c3f3b0236004d5edb9a4e23c73e37587f388ee664934cae334a	
Button Pushing.fbx	54942064	with-skin	98.0	3.2667	unique-name	1	c9c8f267-b96c-11e4-a802-0aaa78deedf9	Pushing A Button With The Right Hand	f0e5cbd69b6aa5b2a67169cebbb66925bd8251fa836d15cb7651bcca0f577aa7	
Catwalk Twist R To Walk 180.fbx	54924464	with-skin	82.0	2.7333	ambiguous-name	2	7a46ab56-3cd5-405f-aa4a-48cf84bb64e7 | 1ab011f2-96c0-475d-8ef7-e453c95c2fa3	Female Twist Right Idle To Walk 180 - Turning Right | Male Twist Right Idle To Walk 180 - Turning Right	8b145a504f6cb8fdd625e82c7d66d25e4dfb6329e37b078e166b11cec634a793	
Catwalk Walk Start Turn 180 Left.fbx	545536	without-skin	76.0	2.5333	ambiguous-name	2	305747e7-bb9c-4d6c-b1d7-18a07c24c59a | a24418a8-5607-49f7-af1c-ec59dabd9d41	Female Walk Start Turining 180 To The Left | Male Walk Start Turining 180 To The Left	2eda7cedc4a39018825fec6443ba2c52cb1ba70b380a2a776c4e41d6c67d2cbc	
Catwalk Walk Turn 180 Tight L.fbx	707184	without-skin	119.0	3.9667	unique-name	1	53ae6105-cdf1-4437-9e6c-c4c362dc46d1	Male Walk Forward In A Tight Turn To The Left	07102472ac4e39b8d16525f0003cceb46603a6b9deea42575e345d89607642ee	
Catwalk Walk Turn 180 Tight R.fbx	714528	without-skin	121.0	4.0333	unique-name	1	76345d30-e756-4d73-90bf-b912fe28abd1	Male Walk Forward In A Tight Turn To The Right	adfdce5f9a439ed917cfc532ba9f70aa4de256827923768595a8463fc0900aa4	
Closing.fbx	802496	without-skin	186.0	6.2	unique-name	1	c9c6d55d-b96c-11e4-a802-0aaa78deedf9	Closing Cabinet Door	7bfc609c6c28415f915e7b8db5b04e9d412d47cdf5d203ff053c53d9ee258e32	
Dismissing Gesture.fbx	54870560	with-skin	68.0	2.2667	ambiguous-name	2	c9c8f19f-b96c-11e4-a802-0aaa78deedf9 | c9c8e0d3-b96c-11e4-a802-0aaa78deedf9	Dismissing With Back Hand | Dismissing With Hand Forward	c50aa3ebbcddc8fee1a4046bbd91a6df1510ecf0650749229aa82a93a2985fba	
Drawing Gun.fbx	466336	without-skin	61.0	2.0333	unique-name	1	c9c83441-b96c-11e4-a802-0aaa78deedf9	Drawing Gun From Lower Back	270d7231ec6e6c4147700f7a01ef2cc289c2205ff63fa6175095a35d873c5456	
Dying.fbx	54917952	with-skin	133.0	4.4333	ambiguous-name	10	c9c62d63-b96c-11e4-a802-0aaa78deedf9 | c9c630ac-b96c-11e4-a802-0aaa78deedf9 | c9c63186-b96c-11e4-a802-0aaa78deedf9 | c9c62efe-b96c-11e4-a802-0aaa78deedf9 | c9c62e30-b96c-11e4-a802-0aaa78deedf9 | c9c62fce-b96c-11e4-a802-0aaa78deedf9 | c9c62c97-b96c-11e4-a802-0aaa78deedf9 | c9c62bc7-b96c-11e4-a802-0aaa78deedf9 | c9c6e758-b96c-11e4-a802-0aaa78deedf9 | c9c6df2e-b96c-11e4-a802-0aaa78deedf9	Death Hit From The Back Falling On One Knee | Dying Front Head Impact To Two Knees | Dying Rear Impact Falling On Two Knees | Dying Shot To Back Of Head Falling On Two Knees | Dying Shot To The Chest Falling On Two Knees | Dying Shot To The Head Falling On Two Knees | Dying With Front Hit To The Head And Fall On One Knee | Dying With Front Impact To The Head And Fall On One Knee | Explosion From Behind | Laying On The Ground Dying	bc98695c44ad5581cbe0bd257ad6b86c90d3f485f4b68ef760dc951f69ea1a33	
Emerge From Cover.fbx	459488	without-skin	59.0	1.9667	unique-name	1	c9cc0e84-b96c-11e4-a802-0aaa78deedf9	Emerging Left From Cover Idle	4bb5ad8c5994f11f129c21c39eb0fae7ea9271877def13f9a786abea6a2d8f85	
Entering Code.fbx	862768	without-skin	226.0	7.5333	unique-name	1	c9c85e20-b96c-11e4-a802-0aaa78deedf9	Entering An Access Code	42c6d3b27f547651282a2d825f2c55597952f379e534b38798cf3128d6d3daef	
Firing Rifle.fbx	54743312	with-skin	36.0	1.2	ambiguous-name	8	c9c863fe-b96c-11e4-a802-0aaa78deedf9 | c9c94dfa-b96c-11e4-a802-0aaa78deedf9 | c9c895ef-b96c-11e4-a802-0aaa78deedf9 | c9ca927e-b96c-11e4-a802-0aaa78deedf9 | c9c9245d-b96c-11e4-a802-0aaa78deedf9 | c9c94f98-b96c-11e4-a802-0aaa78deedf9 | c9c95371-b96c-11e4-a802-0aaa78deedf9 | c9c92f55-b96c-11e4-a802-0aaa78deedf9	Firing A Rifle While Standing | Firing A Rifle While Standing | Firing While Walking With Rifle | Repeatedly Firing A Rifle While Crouch Walking | Repeatedly Firing While Running With Rifle | Repeatedly Firing While Walking At Medium Speed With Rifle | Repeatedly Firing While Walking At Slow Speed With Rifle | Repeatedly Firing While Walking With Rifle	5b22f926575b92b0bc61df651abc82519e775853ba2d2dbc0b08232362ad9c6c	
Headbutt.fbx	54787408	with-skin	64.0	2.1333	unique-name	1	c9c722ef-b96c-11e4-a802-0aaa78deedf9	Illegal Headbutt With Step	d10b53f13aab572f8d21ce7b62fd5c9f421d4754556db97dd359c0167e03476a	
