id	name	description	characterType	thumbnail
c9c9f110-b96c-11e4-a802-0aaa78deedf9	180 Turn W/ Briefcase	Female 180 Turn With Briefcase	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/118950901/static.png
c9c9ee12-b96c-11e4-a802-0aaa78deedf9	180 Turn W/ Briefcase	Male 180 Turn With Briefcase	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/118900901/static.png
c9c87b9c-b96c-11e4-a802-0aaa78deedf9	2hand Idle	Two Handed Weapon Stance	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/114740901/static.png
c9c91c6e-b96c-11e4-a802-0aaa78deedf9	Acknowledging	Acknowledging Gesture	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/117150901/static.png
c9ccd9a7-b96c-11e4-a802-0aaa78deedf9	Action Idle To Fight Idle	Transition From Action Idle To Fight Idle	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/124330901/static.png
c9cceb09-b96c-11e4-a802-0aaa78deedf9	Action Idle To Standing Idle	Transition From Action Idle To Standing Idle	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/124320901/static.png
c9c959ad-b96c-11e4-a802-0aaa78deedf9	Administering Cpr	Administering Cpr To A Victim On The Ground	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/115980901/static.png
c9caab79-b96c-11e4-a802-0aaa78deedf9	Aerial Evade	Evading Projectiles In Mid-Air	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/120340901/static.png
c9c6c52f-b96c-11e4-a802-0aaa78deedf9	Agony	Agony Holding The Head	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/104380907/static.png
c9c91ec4-b96c-11e4-a802-0aaa78deedf9	Agreeing	Agreeing Yes	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/117330901/static.png
c9c91ad5-b96c-11e4-a802-0aaa78deedf9	Agreeing	Step Back Cautiously Agreeing	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/117290901/static.png
c9c8ff29-b96c-11e4-a802-0aaa78deedf9	Aim Pistol	Aim Pistol While Sitting	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/137590901/static.png
c9c83e34-b96c-11e4-a802-0aaa78deedf9	Aiming	Turning Around To Aim Gun	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/130810901/static.png
c9c91dff-b96c-11e4-a802-0aaa78deedf9	Aiming Gun	Picking Up Gun From Ground To Aiming	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/136610901/static.png
c9caa63d-b96c-11e4-a802-0aaa78deedf9	Air Squat	Air Squat Workout	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/119900901/static.png
c9cb991f-b96c-11e4-a802-0aaa78deedf9	Air Squat Bent Arms	Air Squat Workout	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/119900902/static.png
c9c98b02-b96c-11e4-a802-0aaa78deedf9	Angry	Standing Angrily	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/117940901/static.png
c9c915fd-b96c-11e4-a802-0aaa78deedf9	Angry Gesture	Angrily Pumping Fists Forward	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/117280901/static.png
c9c917a2-b96c-11e4-a802-0aaa78deedf9	Angry Gesture	Angry Forward Gesture	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/117140901/static.png
c9c78c0d-b96c-11e4-a802-0aaa78deedf9	Angry Gesture	Seated Idle With Hands On A Table Being Rude	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/113340901/static.png
c9c916ce-b96c-11e4-a802-0aaa78deedf9	Angry Point	Quickly Pointing Angrily Forward	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/117050901/static.png
c9c90fbc-b96c-11e4-a802-0aaa78deedf9	Annoyed Head Shake	Shaking Head No Annoyed	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/117090901/static.png
c9c922a9-b96c-11e4-a802-0aaa78deedf9	Arm Gesture	Gesturing With Arm To The Side	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/117340901/static.png
c9c90cbb-b96c-11e4-a802-0aaa78deedf9	Arm Stretching	Stretching Arms By Pushing The Elbows	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/117260901/static.png
c9cb9d65-b96c-11e4-a802-0aaa78deedf9	Armada	Capoeira Spin Kick	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/120970901/static.png
c9cb9bf9-b96c-11e4-a802-0aaa78deedf9	Armada To Esquiva	Capoeira Spin Kick To Escape	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/120960901/static.png
c9c7386d-b96c-11e4-a802-0aaa78deedf9	Arms Hip Hop Dance	Hip Hop Dancing With Arms	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/108990901/static.png
c9ccb1c6-b96c-11e4-a802-0aaa78deedf9	Ascending Stairs	Walking Up A Set Of Stairs	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/123470901/static.png
c9c79aea-b96c-11e4-a802-0aaa78deedf9	Asking Question	Seated Idle With Hands On A Table	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/113360901/static.png
c9cb9ec4-b96c-11e4-a802-0aaa78deedf9	Au	Capoeira Cartwheel Move	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/120980901/static.png
c9cba02e-b96c-11e4-a802-0aaa78deedf9	Au To Role	Capoeira Cartwheel To Roll Escape	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/120990901/static.png
c9c7a617-b96c-11e4-a802-0aaa78deedf9	Back Flip To Uppercut	Back Flip To Uppercut Combo	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/113710901/static.png
c9cb4e74-b96c-11e4-a802-0aaa78deedf9	Back Squat	Back Squat Workout	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/120210901/static.png
c9cb24a7-b96c-11e4-a802-0aaa78deedf9	Back Squat	Ending Back Squat Workout To Fitness Idle	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/120230901/static.png
c9cb23e7-b96c-11e4-a802-0aaa78deedf9	Back Squat	Starting Back Squat Workout From Fitness Idle	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/120220901/static.png
c9c6afea-b96c-11e4-a802-0aaa78deedf9	Backflip	Backflip Moving Backward	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/103650901/static.png
c9c9ea58-b96c-11e4-a802-0aaa78deedf9	Backflip	Standing Backflip	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/118400901/static.png
c9c939cf-b96c-11e4-a802-0aaa78deedf9	Backward Jump	Jumping While Walking Backwards	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/117430901/static.png
c9ccc82d-b96c-11e4-a802-0aaa78deedf9	Backward Right Turn	Backward Run Turning Right	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/123600901/static.png
c9ccc521-b96c-11e4-a802-0aaa78deedf9	Backward Right Turn	Backward Walk Turning Right	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/123540901/static.png
c9ce5c22-b96c-11e4-a802-0aaa78deedf9	Backward Walking Turn	Drunken Walking Backward Right Turn	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/124420901/static.png
c9cd4e19-b96c-11e4-a802-0aaa78deedf9	Backwards Rifle Run	Running Backwards With Rifle Down	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/125950901/static.png
c9cd4c9d-b96c-11e4-a802-0aaa78deedf9	Backwards Rifle Walk	Walking Backwards With Rifle Down	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/125930901/static.png
c9c78fe1-b96c-11e4-a802-0aaa78deedf9	Banging Fist	Banging Fist On Table	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/113310901/static.png
